"NPI","Resource ID","Name","References List"
"9999972445","OrganizationAffiliation/vhdir-organizationaffiliation-9999972445-2","QUINCY MEDICAL CENTER Network Member","HPID030000"
"9997659264","OrganizationAffiliation/vhdir-organizationaffiliation-9997659264-0","SPRINGFIELD REHABILITATION CENTER INC. Network Member","HPID010000"
"9997659264","OrganizationAffiliation/vhdir-organizationaffiliation-9997659264-1","SPRINGFIELD REHABILITATION CENTER INC. Network Member","HPID020000"
"9997659264","OrganizationAffiliation/vhdir-organizationaffiliation-9997659264-2","SPRINGFIELD REHABILITATION CENTER INC. Network Member","HPID030000"
"9991892344","OrganizationAffiliation/vhdir-organizationaffiliation-9991892344-0","SEACOAST AFFILIATED GROUP PRACTICE, INC. Network Member","HPID010000"
"9991892344","OrganizationAffiliation/vhdir-organizationaffiliation-9991892344-1","SEACOAST AFFILIATED GROUP PRACTICE, INC. Network Member","HPID020000"
"9991892344","OrganizationAffiliation/vhdir-organizationaffiliation-9991892344-2","SEACOAST AFFILIATED GROUP PRACTICE, INC. Network Member","HPID030000"
"9995630533","OrganizationAffiliation/vhdir-organizationaffiliation-9995630533-0","COMMUNITY HEALTH CONNECTIONS, INC. Network Member","HPID010000"
"9995630533","OrganizationAffiliation/vhdir-organizationaffiliation-9995630533-1","COMMUNITY HEALTH CONNECTIONS, INC. Network Member","HPID020000"
"9995630533","OrganizationAffiliation/vhdir-organizationaffiliation-9995630533-2","COMMUNITY HEALTH CONNECTIONS, INC. Network Member","HPID030000"
"9995731321","OrganizationAffiliation/vhdir-organizationaffiliation-9995731321-0","CODAC INC Network Member","HPID070000"
"9995731321","OrganizationAffiliation/vhdir-organizationaffiliation-9995731321-1","CODAC INC Network Member","HPID080000"
"9995731321","OrganizationAffiliation/vhdir-organizationaffiliation-9995731321-2","CODAC INC Network Member","HPID090000"
"9992307530","OrganizationAffiliation/vhdir-organizationaffiliation-9992307530-0","LOWELL COMMUNITY HEALTH CENTER, INC. Network Member","HPID010000"
"9992307530","OrganizationAffiliation/vhdir-organizationaffiliation-9992307530-1","LOWELL COMMUNITY HEALTH CENTER, INC. Network Member","HPID020000"
"9992307530","OrganizationAffiliation/vhdir-organizationaffiliation-9992307530-2","LOWELL COMMUNITY HEALTH CENTER, INC. Network Member","HPID030000"
"9999670259","OrganizationAffiliation/vhdir-organizationaffiliation-9999670259-0","MOUNT AUBURN HOSPITAL Network Member","HPID010000"
"9999670259","OrganizationAffiliation/vhdir-organizationaffiliation-9999670259-1","MOUNT AUBURN HOSPITAL Network Member","HPID020000"
"9999670259","OrganizationAffiliation/vhdir-organizationaffiliation-9999670259-2","MOUNT AUBURN HOSPITAL Network Member","HPID030000"
"9998762106","OrganizationAffiliation/vhdir-organizationaffiliation-9998762106-0","TOLLGATE SLEEP DISORDERS CENTER, INC. Network Member","HPID070000"
"9998762106","OrganizationAffiliation/vhdir-organizationaffiliation-9998762106-1","TOLLGATE SLEEP DISORDERS CENTER, INC. Network Member","HPID080000"
"9998762106","OrganizationAffiliation/vhdir-organizationaffiliation-9998762106-2","TOLLGATE SLEEP DISORDERS CENTER, INC. Network Member","HPID090000"
"9998863986","OrganizationAffiliation/vhdir-organizationaffiliation-9998863986-0","CAMBRIDGE HEALTH ALLIANCE ELDER SERVICE PLAN Network Member","HPID010000"
"9998863986","OrganizationAffiliation/vhdir-organizationaffiliation-9998863986-1","CAMBRIDGE HEALTH ALLIANCE ELDER SERVICE PLAN Network Member","HPID020000"
"9998863986","OrganizationAffiliation/vhdir-organizationaffiliation-9998863986-2","CAMBRIDGE HEALTH ALLIANCE ELDER SERVICE PLAN Network Member","HPID030000"
"9995338232","OrganizationAffiliation/vhdir-organizationaffiliation-9995338232-0","JOHNSON HEALTH CARE, INC. DBA JOHNSON SURGERY CENTER Network Member","HPID040000"
"9995338232","OrganizationAffiliation/vhdir-organizationaffiliation-9995338232-1","JOHNSON HEALTH CARE, INC. DBA JOHNSON SURGERY CENTER Network Member","HPID050000"
"9995338232","OrganizationAffiliation/vhdir-organizationaffiliation-9995338232-2","JOHNSON HEALTH CARE, INC. DBA JOHNSON SURGERY CENTER Network Member","HPID060000"
"9996348148","OrganizationAffiliation/vhdir-organizationaffiliation-9996348148-0","FARMINGTON SURGERY CENTER LLC Network Member","HPID040000"
"9996348148","OrganizationAffiliation/vhdir-organizationaffiliation-9996348148-1","FARMINGTON SURGERY CENTER LLC Network Member","HPID050000"
"9996348148","OrganizationAffiliation/vhdir-organizationaffiliation-9996348148-2","FARMINGTON SURGERY CENTER LLC Network Member","HPID060000"
"9990085657","OrganizationAffiliation/vhdir-organizationaffiliation-9990085657-0","BAYSIDE ENDOSCOPY, LLC Network Member","HPID070000"
"9990085657","OrganizationAffiliation/vhdir-organizationaffiliation-9990085657-1","BAYSIDE ENDOSCOPY, LLC Network Member","HPID080000"
"9990085657","OrganizationAffiliation/vhdir-organizationaffiliation-9990085657-2","BAYSIDE ENDOSCOPY, LLC Network Member","HPID090000"
"9991095779","OrganizationAffiliation/vhdir-organizationaffiliation-9991095779-0","PLANNED PARENTHOOD LEAGUE OF MASSACHUSETTS, INC. Network Member","HPID010000"
"9991095779","OrganizationAffiliation/vhdir-organizationaffiliation-9991095779-1","PLANNED PARENTHOOD LEAGUE OF MASSACHUSETTS, INC. Network Member","HPID020000"
"9991095779","OrganizationAffiliation/vhdir-organizationaffiliation-9991095779-2","PLANNED PARENTHOOD LEAGUE OF MASSACHUSETTS, INC. Network Member","HPID030000"
"9994126865","OrganizationAffiliation/vhdir-organizationaffiliation-9994126865-0","BAY STATE COMMUNITY SERVICES, INC. Network Member","HPID010000"
"9994126865","OrganizationAffiliation/vhdir-organizationaffiliation-9994126865-1","BAY STATE COMMUNITY SERVICES, INC. Network Member","HPID020000"
"9994126865","OrganizationAffiliation/vhdir-organizationaffiliation-9994126865-2","BAY STATE COMMUNITY SERVICES, INC. Network Member","HPID030000"
"9991692366","OrganizationAffiliation/vhdir-organizationaffiliation-9991692366-0","HARBOR HEALTH SERVICES, INC. Network Member","HPID010000"
"9991692366","OrganizationAffiliation/vhdir-organizationaffiliation-9991692366-1","HARBOR HEALTH SERVICES, INC. Network Member","HPID020000"
"9991692366","OrganizationAffiliation/vhdir-organizationaffiliation-9991692366-2","HARBOR HEALTH SERVICES, INC. Network Member","HPID030000"
"9999278250","OrganizationAffiliation/vhdir-organizationaffiliation-9999278250-0","ROGER WILLIAMS MEDICAL CENTER Network Member","HPID070000"
"9999278250","OrganizationAffiliation/vhdir-organizationaffiliation-9999278250-1","ROGER WILLIAMS MEDICAL CENTER Network Member","HPID080000"
"9999278250","OrganizationAffiliation/vhdir-organizationaffiliation-9999278250-2","ROGER WILLIAMS MEDICAL CENTER Network Member","HPID090000"
"9999177926","OrganizationAffiliation/vhdir-organizationaffiliation-9999177926-0","EASTER SEALS CAPITAL REGION &amp; EASTERN CONNECTICUT, INC. Network Member","HPID040000"
"9999177926","OrganizationAffiliation/vhdir-organizationaffiliation-9999177926-1","EASTER SEALS CAPITAL REGION &amp; EASTERN CONNECTICUT, INC. Network Member","HPID050000"
"9999177926","OrganizationAffiliation/vhdir-organizationaffiliation-9999177926-2","EASTER SEALS CAPITAL REGION &amp; EASTERN CONNECTICUT, INC. Network Member","HPID060000"
"9998864828","OrganizationAffiliation/vhdir-organizationaffiliation-9998864828-0","FAMILY MEDICINE ASSOCIATES P. C. Network Member","HPID010000"
"9998864828","OrganizationAffiliation/vhdir-organizationaffiliation-9998864828-1","FAMILY MEDICINE ASSOCIATES P. C. Network Member","HPID020000"
"9998864828","OrganizationAffiliation/vhdir-organizationaffiliation-9998864828-2","FAMILY MEDICINE ASSOCIATES P. C. Network Member","HPID030000"
"9997955733","OrganizationAffiliation/vhdir-organizationaffiliation-9997955733-0","DISCOVERY HOUSE UTAH Network Member","HPID070000"
"9997955733","OrganizationAffiliation/vhdir-organizationaffiliation-9997955733-1","DISCOVERY HOUSE UTAH Network Member","HPID080000"
"9997955733","OrganizationAffiliation/vhdir-organizationaffiliation-9997955733-2","DISCOVERY HOUSE UTAH Network Member","HPID090000"
"9993319368","OrganizationAffiliation/vhdir-organizationaffiliation-9993319368-0","RHODE ISLAND SUBSTANCE ABUSE TREATMENT, INC. Network Member","HPID070000"
"9993319368","OrganizationAffiliation/vhdir-organizationaffiliation-9993319368-1","RHODE ISLAND SUBSTANCE ABUSE TREATMENT, INC. Network Member","HPID080000"
"9993319368","OrganizationAffiliation/vhdir-organizationaffiliation-9993319368-2","RHODE ISLAND SUBSTANCE ABUSE TREATMENT, INC. Network Member","HPID090000"
"9995935572","OrganizationAffiliation/vhdir-organizationaffiliation-9995935572-0","JOHN C BREEN PC Network Member","HPID010000"
"9995935572","OrganizationAffiliation/vhdir-organizationaffiliation-9995935572-1","JOHN C BREEN PC Network Member","HPID020000"
"9995935572","OrganizationAffiliation/vhdir-organizationaffiliation-9995935572-2","JOHN C BREEN PC Network Member","HPID030000"
"9994521488","OrganizationAffiliation/vhdir-organizationaffiliation-9994521488-0","RHODE ISLAND SUBSTANCE ABUSE TREATMENT INC Network Member","HPID070000"
"9994521488","OrganizationAffiliation/vhdir-organizationaffiliation-9994521488-1","RHODE ISLAND SUBSTANCE ABUSE TREATMENT INC Network Member","HPID080000"
"9994521488","OrganizationAffiliation/vhdir-organizationaffiliation-9994521488-2","RHODE ISLAND SUBSTANCE ABUSE TREATMENT INC Network Member","HPID090000"
"9994723478","OrganizationAffiliation/vhdir-organizationaffiliation-9994723478-0","PHYSICAL THERAPY CENTER, INC Network Member","HPID010000"
"9994723478","OrganizationAffiliation/vhdir-organizationaffiliation-9994723478-1","PHYSICAL THERAPY CENTER, INC Network Member","HPID020000"
"9994723478","OrganizationAffiliation/vhdir-organizationaffiliation-9994723478-2","PHYSICAL THERAPY CENTER, INC Network Member","HPID030000"
"9992006923","OrganizationAffiliation/vhdir-organizationaffiliation-9992006923-0","LIFEBRIDGE COMMUNITY SERVICES, INC. Network Member","HPID040000"
"9992006923","OrganizationAffiliation/vhdir-organizationaffiliation-9992006923-1","LIFEBRIDGE COMMUNITY SERVICES, INC. Network Member","HPID050000"
"9992006923","OrganizationAffiliation/vhdir-organizationaffiliation-9992006923-2","LIFEBRIDGE COMMUNITY SERVICES, INC. Network Member","HPID060000"
"9990188327","OrganizationAffiliation/vhdir-organizationaffiliation-9990188327-0","SOUNDVIEW ORTHOPAEDIC ASSOC. LLP Network Member","HPID070000"
"9990188327","OrganizationAffiliation/vhdir-organizationaffiliation-9990188327-1","SOUNDVIEW ORTHOPAEDIC ASSOC. LLP Network Member","HPID080000"
"9990188327","OrganizationAffiliation/vhdir-organizationaffiliation-9990188327-2","SOUNDVIEW ORTHOPAEDIC ASSOC. LLP Network Member","HPID090000"
"9996441719","OrganizationAffiliation/vhdir-organizationaffiliation-9996441719-0","COMPREHENSIVE COMMUNITY ACTION, INC. Network Member","HPID070000"
"9996441719","OrganizationAffiliation/vhdir-organizationaffiliation-9996441719-1","COMPREHENSIVE COMMUNITY ACTION, INC. Network Member","HPID080000"
"9996441719","OrganizationAffiliation/vhdir-organizationaffiliation-9996441719-2","COMPREHENSIVE COMMUNITY ACTION, INC. Network Member","HPID090000"
"9997552602","OrganizationAffiliation/vhdir-organizationaffiliation-9997552602-0","ESSENT HEALTH CARE OF MASS INC Network Member","HPID010000"
"9997552602","OrganizationAffiliation/vhdir-organizationaffiliation-9997552602-1","ESSENT HEALTH CARE OF MASS INC Network Member","HPID020000"
"9997552602","OrganizationAffiliation/vhdir-organizationaffiliation-9997552602-2","ESSENT HEALTH CARE OF MASS INC Network Member","HPID030000"
"9999774646","OrganizationAffiliation/vhdir-organizationaffiliation-9999774646-0","GREATER LAWRENCE FAMILY HEALTH CENTER, INC. Network Member","HPID010000"
"9999774646","OrganizationAffiliation/vhdir-organizationaffiliation-9999774646-1","GREATER LAWRENCE FAMILY HEALTH CENTER, INC. Network Member","HPID020000"
"9999774646","OrganizationAffiliation/vhdir-organizationaffiliation-9999774646-2","GREATER LAWRENCE FAMILY HEALTH CENTER, INC. Network Member","HPID030000"
"9998269624","OrganizationAffiliation/vhdir-organizationaffiliation-9998269624-0","HOSPITAL OF SAINT RAPHAEL Network Member","HPID040000"
"9998269624","OrganizationAffiliation/vhdir-organizationaffiliation-9998269624-1","HOSPITAL OF SAINT RAPHAEL Network Member","HPID050000"
"9998269624","OrganizationAffiliation/vhdir-organizationaffiliation-9998269624-2","HOSPITAL OF SAINT RAPHAEL Network Member","HPID060000"
"9996643294","OrganizationAffiliation/vhdir-organizationaffiliation-9996643294-0","KENT COUNTY MEMORIAL HOSPITAL Network Member","HPID070000"
"9996643294","OrganizationAffiliation/vhdir-organizationaffiliation-9996643294-1","KENT COUNTY MEMORIAL HOSPITAL Network Member","HPID080000"
"9996643294","OrganizationAffiliation/vhdir-organizationaffiliation-9996643294-2","KENT COUNTY MEMORIAL HOSPITAL Network Member","HPID090000"
